# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 5.208027343750000000e+03 6.443889648437500000e+03 1.000017881393432617e+00
1.000000000000000000e+03 4.633731460571289062e+01 5.551517486572265625e+01 2.977757155895233154e-01
2.000000000000000000e+03 4.159015178680419922e+00 4.887138366699218750e+00 7.981394231319427490e-02
3.000000000000000000e+03 3.947852849960327148e-01 4.460232257843017578e-01 1.602027192711830139e-02
4.000000000000000000e+03 1.064652651548385620e-01 1.122244819998741150e-01 5.179045721888542175e-03
5.000000000000000000e+03 7.976855337619781494e-02 8.565998077392578125e-02 4.303675610572099686e-03
